line_number,sentiment,confidence,text
1,NEGATIVE,0.997025191783905,Here is What to Know Beyond Why AT&T Inc. (T) is a Trending Stock
2,NEGATIVE,0.8723792433738708,T-Mobile Launches Most Aggressive Black Friday Wireless Promotion
3,NEGATIVE,0.6879564523696899,AT&T to Release Fourth-Quarter 2025 Earnings on Jan. 28
4,NEGATIVE,0.98244309425354,Copper Thieves Are Wreaking Havoc Across America
5,NEGATIVE,0.8723792433738708,T-Mobile Launches Most Aggressive Black Friday Wireless Promotion
6,NEGATIVE,0.9577539563179016,Verizon (VZ) Up 4.9% Since Last Earnings Report: Can It Continue?
7,NEGATIVE,0.9973927736282349,Why AI Telecom Stock IQSTEL Inc. (IQST) Bets on Cybersecurity as FCC Eliminates Cybersecurity Requirements for Telecom
8,NEGATIVE,0.977895975112915,T-Mobile shares holiday offer customers won't want to pass up
9,POSITIVE,0.9978939890861511,"Dallas Is Solving Its Oversupply Of Offices By Converting Them Into Housing, And Public Funds Can Help It Cross The Finish Line: 'It's An Opportunity'"
10,NEGATIVE,0.9984234571456909,Can AT&T Benefit From EchoStar's Mid-Band Spectrum Deployment?
